Nr,Funkcja,Powierzchnia użytkowa [m²],Powierzchnia posadzki [m²]
10/1,Wiatrołap,"4,56","4,56"
11/1,Komunikacja,"6,64","6,64"
12/1,Kuchnia,"7,38","7,38"
13/1,Spiżarnia,"3,05","3,05"
14/1,Jadalnia,"9,72","9,72"
15/1,Salon,"23,38","23,38"
16/1,Łazienka,"2,88","2,88"
17/1,Kotłownia/​Pralnia,"7,06","11,62"
18/1,Garaż,—,"21,6"
,RAZEM (bez garażu),"64,67","90,75"
