Nr,Funkcja,Powierzchnia użytkowa [m²],Powierzchnia posadzki [m²]
1/1,Wiatrołap,"3,72","3,72"
2/1,Komunikacja,"3,9","3,9"
3/1,Kotłownia/​Pralnia,"4,72","4,72"
4/1,WC,"1,58","1,58"
5/1,Kuchnia,"9,37","9,37"
6/1,Spiżarnia,"1,13","1,13"
7/1,Jadalnia,"15,23","15,23"
8/1,Salon,"19,41","20,1"
9/1,Komunikacja,"4,38","4,38"
10/1,Garaż,—,"16,54"
,RAZEM (bez garażu),"63,65","82,98"
