Nr,Funkcja,Powierzchnia użytkowa [m²],Powierzchnia posadzki [m²]
1/1,Wiatrołap,"4,05","4,05"
2/1,Hol,"6,55","6,55"
3/1,Kotłownia/​Pralnia,"4,22","4,22"
4/1,WC,"1,44","1,44"
5/1,Jadalnia/​Salon,"44,5","47,42"
6/1,Kuchnia,"8,3","8,3"
7/1,Spiżarnia,"1,2","1,2"
8/1,Garaż,—,"18,66"
,RAZEM (bez garażu),"70,26","91,84"
