Nr,Funkcja,Powierzchnia użytkowa [m²],Powierzchnia posadzki [m²]
1/2,Komunikacja,"12,05","12,05"
2/2,Garderoba,"3,07","5,13"
3/2,Sypialnia,"7,41","11,13"
4/2,Łazienka,"5,7","8,87"
5/2,Sypialnia,"9,73","13,45"
6/2,Sypialnia,"11,09","17,15"
,RAZEM (bez garażu),"49,05","67,78"
