Nr,Funkcja,Powierzchnia użytkowa [m²],Powierzchnia posadzki [m²]
1/2,Komunikacja,"10,37","10,37"
2/2,Suszarnia,"14,71","16,88"
3/2,Łazienka,"6,79","12,07"
4/2,Garderoba,"4,98","4,98"
5/2,Sypialnia,"14,86","20,46"
6/2,Sypialnia,"14,89","20,61"
,RAZEM (bez garażu),"66,6","85,37"
