Nr,Funkcja,Powierzchnia użytkowa [m²],Powierzchnia posadzki [m²]
11/1,Wiatrołap,"3,72","3,72"
12/1,Komunikacja,"3,9","3,9"
13/1,Kotłownia/​Pralnia,"4,72","4,72"
14/1,WC,"1,58","1,58"
15/1,Komunikacja,"4,38","4,38"
16/1,Salon,"19,41","22,1"
17/1,Jadalnia,"15,23","15,23"
18/1,Kuchnia,"5,96","5,96"
19/1,Spiżarnia,"4,75","4,75"
20/1,Garaż,—,"15,99"
,RAZEM (bez garażu),"81,06","83,85"
