Nr,Funkcja,Powierzchnia użytkowa [m²],Powierzchnia posadzki [m²]
1/2,Komunikacja,"2,16","2,16"
2/2,Korytarz,"8,06","8,06"
3/2,Sypialnia,"13,58","16,4"
4/2,Sypialnia,"9,37","14,62"
5/2,Sypialnia,9,"12,68"
6/2,Łazienka,"4,96","8,92"
7/2,Sypialnia,"6,22","10,06"
,RAZEM (bez garażu),"53,32","72,87"
