Nr,Funkcja,Powierzchnia użytkowa [m²],Powierzchnia posadzki [m²]
1/1,Wiatrołap,"4,56","4,56"
2/1,Komunikacja,"6,64","6,64"
3/1,Kuchnia,"7,38","7,38"
4/1,Spiżarnia,"3,05","3,05"
5/1,Jadalnia,"9,72","9,72"
6/1,Salon,"23,38","23,38"
7/1,Łazienka,"2,88","2,88"
8/1,Kotłownia/​Pralnia,"7,06","11,62"
9/1,Garaż,—,"21,6"
,RAZEM (bez garażu),"64,67","90,75"
