Nr,Funkcja,Powierzchnia użytkowa [m²],Powierzchnia posadzki [m²]
7/2,Komunikacja,"12,05","12,05"
8/2,Sypialnia,"3,07","5,13"
9/2,Sypialnia,"7,41","11,13"
10/2,Łazienka,"5,7","8,87"
11/2,Sypialnia,"9,73","13,45"
12/2,Garderoba,"11,09","17,15"
,RAZEM (bez garażu),"49,05","67,78"
