Nr,Funkcja,Powierzchnia użytkowa [m²],Powierzchnia posadzki [m²]
10/1,Wiatrołap,"5,46","5,46"
11/1,Komunikacja,"5,98","5,98"
12/1,Kotłownia/​Pralnia,"3,5","3,5"
13/1,WC,"2,19","2,19"
14/1,Garaż,—,"16,06"
15/1,Spiżarnia,"1,53","2,46"
16/1,Kuchnia,"9,2","9,2"
17/1,Jadalnia,"11,9","11,9"
18/1,Salon,"20,06","20,06"
,RAZEM (bez garażu),"59,82","76,94"
