Nr,Funkcja,Powierzchnia użytkowa [m²],Powierzchnia posadzki [m²]
1/1,Komunikacja,"11,08","11,08"
2/1,Łazienka,"7,94","7,94"
3/1,Sypialnia,"16,3","18,88"
4/1,Sypialnia,"12,56","12,56"
5/1,Garderoba,"9,83","9,83"
6/1,Sypialnia,"20,27","22,35"
,RAZEM (bez garażu),"77,98","82,64"
