Nr,Funkcja,Powierzchnia użytkowa [m²],Powierzchnia posadzki [m²]
7/2,Komunikacja,"10,37","10,37"
8/2,Suszarnia,"14,71","16,88"
9/2,Łazienka,"6,79","12,07"
10/2,Garderoba,"4,98","4,98"
11/2,Sypialnia,"14,86","20,46"
12/2,Sypialnia,"14,89","20,61"
,RAZEM (bez garażu),"66,6","85,37"
