Nr,Funkcja,Powierzchnia użytkowa [m²],Powierzchnia posadzki [m²]
7/2,Komunikacja,"11,08","11,08"
8/2,Łazienka,"7,94","7,94"
9/2,Sypialnia,"16,3","18,88"
10/2,Sypialnia,"12,56","12,56"
11/2,Garderoba,"9,83","9,83"
12/2,Sypialnia,"20,27","22,35"
,RAZEM (bez garażu),"77,98","82,64"
